Date,T-bill(cont.comp),Canada,Japan,France,Germany,Italy,Switzerland,UK,US,World
1987-03-28,0.005012,0.088654,0.104506,0.055321,0.043103,0.041848,0.03214,0.045317,0.021146,0.056658
1987-04-28,0.004285,-0.030471,0.153014,0.002201,0.000272,0.081377,-0.011201,0.062521,-0.014111,0.054112
1987-05-28,0.00376,-0.008941,-0.005608,-0.059592,-0.0363,-0.119436,-0.041994,0.052875,0.001088,-0.0026
1987-06-28,0.005031,0.025634,-0.079126,-0.067197,0.060483,-0.019913,0.048884,0.029354,0.04595,-0.00585
1987-07-28,0.004058,0.080365,-0.039096,0.018397,0.035825,-0.014035,0.063982,0.016673,0.042721,0.015684
1987-08-28,0.004744,-0.005073,0.119855,0.046801,0.035335,-0.062971,0.02288,-0.025378,0.033927,0.054125
1987-09-28,0.00482,-0.019142,-0.040202,-0.067801,-0.046168,0.00977,0.0106,0.046473,-0.026855,-0.022463
1987-10-28,0.00604,-0.226822,-0.081111,-0.190443,-0.182128,-0.127892,-0.183006,-0.221398,-0.219001,-0.17608
1987-11-28,0.003366,-0.028621,0.036563,-0.018506,-0.100031,0.024079,-0.057627,-0.048456,-0.088822,-0.027987
1987-12-28,0.002988,0.07187,0.009952,-0.007565,0.016686,-0.051263,0.015296,0.118748,0.066407,0.040025
1988-01-28,0.002762,-0.016416,0.051077,-0.155196,-0.12428,-0.081328,-0.061268,-0.009328,0.039099,0.021344
1988-02-28,0.004564,0.061345,0.070937,0.205169,0.15468,0.05465,0.055737,-0.008252,0.036352,0.053174
1988-03-28,0.004402,0.040847,0.070938,-0.064377,-0.005348,0.03583,-0.020699,0.043392,-0.038784,0.025512
1988-04-28,0.004577,0.011397,0.005811,0.081597,-0.021169,-0.021986,-0.011114,0.022233,0.003627,0.007758
1988-05-28,0.005051,-0.042254,-0.050242,0.060967,-0.016736,-0.110904,-0.037366,-0.033752,0.002567,-0.025313
1988-06-28,0.004832,0.079363,-0.042544,0.006243,-0.002802,0.037762,0.005717,-0.037368,0.040738,-0.006498
1988-07-28,0.00506,-0.023902,0.040769,-0.032705,0.003708,0.024884,-0.023887,0.00476,-0.009097,0.013462
1988-08-28,0.005957,-0.05829,-0.08152,-0.038549,-0.01318,-0.040413,-0.029227,-0.073361,-0.040462,-0.06118
